index,product,category,sub_category
11762,Say Hello To Mellow - 100% Arabica Single Origin Single Estate Light Roast,Gourmet & World Food,Drinks & Beverages
11763,Cow Ghee/Tuppa - A2 Badri,"Foodgrains, Oil & Masala",Organic Staples
11764,Wafer Sticks - Strawberry Cream,Gourmet & World Food,Chocolates & Biscuits
11765,Candy - Tofflairs,Gourmet & World Food,Chocolates & Biscuits
11766,Induction Base Mini Multikadai Set,"Kitchen, Garden & Pets",Cookware & Non Stick
11767,Glory Container Set,Cleaning & Household,Bins & Bathroom Ware
11768,Green Natural Seed Antioxidant Serum,Beauty & Hygiene,Skin Care
11769,Steel Sauce Pan Induction Bottom With Glass Lid - 16 cm,"Kitchen, Garden & Pets",Cookware & Non Stick
11770,Caramel Spread,Gourmet & World Food,Chocolates & Biscuits
11771,Lip Butter - Strawberry,Beauty & Hygiene,Skin Care
11772,Total Care Small - 54 Diaper Pants,Baby Care,Diapers & Wipes
11773,Disney Jake & The Never Land Pirates Plastic Lunch Box/Tiffin Box - HMGSLB 30504-JK,"Kitchen, Garden & Pets",Storage & Accessories
11774,Hasayan Rose Body Wash,Beauty & Hygiene,Bath & Hand Wash
11775,Sabzi Masala,"Foodgrains, Oil & Masala",Masalas & Spices
11776,Magix Bathroom Wiper With 3 Feet Rod & 14 Inch Wiper,Cleaning & Household,"Mops, Brushes & Scrubs"
11777,"Bath Brush - Large Mesh, Golden Brown",Beauty & Hygiene,Bath & Hand Wash
11778,Instant Breakfast Cereal,Snacks & Branded Foods,Ready To Cook & Eat
11779,Olive Leaf Infusion - Olive & Basil Leaves,Gourmet & World Food,Drinks & Beverages
11780,Barking Up the Tea Tree Anti-Itch Dog Shampoo,"Kitchen, Garden & Pets",Pet Food & Accessories
11781,"Juice - Apple with No Added Sugar, 1 l + Orange, 1 l",Beverages,Fruit Juices & Drinks
11782,Perfume Body Spray - Air For Men,Beauty & Hygiene,Fragrances & Deos
11783,"Veggie Fingers - Veggie Delight with Corn, Carrot & Peas",Snacks & Branded Foods,Frozen Veggies & Snacks
11784,Kitchen Towel,Cleaning & Household,"Disposables, Garbage Bag"
11785,Pickle - Andhra Gongura,Snacks & Branded Foods,Pickles & Chutney
11786,Oats,Snacks & Branded Foods,Breakfast Cereals
11787,Organic Penne Rigate - Durum Wheat Semolina,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli"
11788,Noodles - Chilli,Gourmet & World Food,"Pasta, Soup & Noodles"
11789,Wipeout Sanitizing Wipes,Beauty & Hygiene,Bath & Hand Wash
11790,Oxy-Infusion Replenishing Face Mask,Beauty & Hygiene,Skin Care
11791,Plum - Imported,Fruits & Vegetables,Fresh Fruits
11792,Fresh Feel Baby Powder,Baby Care,Baby Bath & Hygiene
11793,Dates/Kharjura,"Foodgrains, Oil & Masala",Dry Fruits
11794,Olives Pitted - Black,Gourmet & World Food,Tinned & Processed Food
11795,"Greek Yogurt - Alphonso Mango, No Added Sugar, Cup",Gourmet & World Food,Bakery Snacks
